Accio Passphrase! 
4-14-6 comforting
4-14-7 cottages
4-14-8 eating
4-14-9 dismay
4-14-10 substitute
4-14-11 drinks
4-14-12 curse
4-14-13 adds
4-14-14 stands
4-14-15 norris
4-14-16 under-age
4-14-17 mungo
4-14-18 favour
4-14-19 shares
4-14-20 uniform
4-15-1 business
4-15-2 reunite
4-15-3 health
4-15-4 suspect
4-15-5 goes
4-15-6 incidents
4-15-7 supplies
4-15-8 falling
4-15-9 appeal
4-15-10 celebrates
4-15-11 filled
4-15-12 halts
4-15-13 supporting
4-15-14 proclaiming
4-15-15 angelina
4-15-16 transportation
4-15-17 disable
4-15-18 months
4-15-19 acted
4-15-20 guardian
4-16-1 hairs
4-16-2 involuntarily
4-16-3 epilogue
4-16-4 umbridge
4-16-5 podmore
4-16-6 water
4-16-7 abandon
4-16-8 fluke
4-16-9 merlin
4-16-10 witch
4-16-11 avada
4-16-12 groups
4-16-13 address
4-16-14 alone
4-16-15 grabbed
4-16-16 along
4-16-17 disappeared
4-16-18 teaches
4-16-19 appears
4-16-20 change
4-17-1 twelve-foot
4-17-2 box
4-17-3 boy
4-17-4 neville
4-17-5 crumbles
4-17-6 thirty
4-17-7 animagus
4-17-8 brilliant
4-17-9 guilty
4-17-10 tactlessly
4-17-11 clutching
4-17-12 sides
4-17-13 angering
4-17-14 descended
4-17-15 exams
4-17-16 suggestion
4-17-17 shrink
4-17-18 usually
4-17-19 boa
4-17-20 weird
4-18-1 sphere
4-18-2 studies
4-18-3 doris
4-18-4 bolt
4-18-5 yaxley
4-18-6 tasks
4-18-7 useful
4-18-8 hostages
4-18-9 humour
4-18-10 broomsticks
4-18-11 problematic
4-18-12 merely
4-18-13 elixir
4-18-14 gellert
4-18-15 marked
4-18-16 morale
4-18-17 graduated
4-18-18 iron
4-18-19 betraying
4-18-20 plots
4-19-1 sweets
4-19-2 transplant
4-19-3 everybody
4-19-4 pansy
4-19-5 wealth
4-19-6 working
4-19-7 prove
4-19-8 equal
4-19-9 angry
4-19-10 fibre
4-19-11 visit
4-19-12 only
4-19-13 tightly
4-19-14 france
4-19-15 live
4-19-16 wood
4-19-17 wondering
4-19-18 sighted
4-19-19 believing
4-19-20 selects
4-20-1 good-byes
4-20-2 chapter
4-20-3 entrance
4-20-4 sharing
4-20-5 teased
4-20-6 conductor
4-20-7 sessions
4-20-8 afford
4-20-9 suggestions
4-20-10 apparent
4-20-11 envelope
4-20-12 ton-tongue
4-20-13 chocolate
4-20-14 teases
4-20-15 everywhere
4-20-16 ludo
4-20-17 slinks
4-20-18 amelia
4-20-19 prophecy
4-20-20 gornuk
5-1-1 behalf
5-1-2 yelling
5-1-3 fly
5-1-4 rebounding
5-1-5 mosag
5-1-6 ambition
5-1-7 strained
5-1-8 anything
5-1-9 defeats
5-1-10 deformed
5-1-11 avoiding
5-1-12 originally
5-1-13 pretend
5-1-14 soul
5-1-15 reprimanding
5-1-16 cat
5-1-17 wands
5-1-18 portkey
5-1-19 gathers
5-1-20 drags
5-2-1 can
5-2-2 sky
5-2-3 following
5-2-4 making
5-2-5 arrive
5-2-6 laughter
5-2-7 newspapers
5-2-8 rufus
5-2-9 breeds
5-2-10 spy
5-2-11 classrooms
5-2-12 reprimands
5-2-13 hears
5-2-14 downfall
5-2-15 frogs
5-2-16 december
5-2-17 sense
5-2-18 confused
5-2-19 agent
5-2-20 choke
5-3-1 forerunners
5-3-2 heard
5-3-3 battered
5-3-4 hides
5-3-5 allowed
5-3-6 enchanted
5-3-7 counting
5-3-8 stole
5-3-9 occur
5-3-10 stunning
5-3-11 denial
5-3-12 pointedly
5-3-13 scorpius
5-3-14 winter
5-3-15 deserves
5-3-16 attract
5-3-17 discussion
5-3-18 delirious
5-3-19 sudden
5-3-20 magazine
5-4-1 trophies
5-4-2 species
5-4-3 write
5-4-4 sunday
5-4-5 slams
5-4-6 detentions
5-4-7 pure
5-4-8 familiar
5-4-9 beans
5-4-10 youth
5-4-11 speaks
5-4-12 begs
5-4-13 afternoon
5-4-14 map
5-4-15 staying
5-4-16 staircase
5-4-17 huge
5-4-18 may
5-4-19 overall
5-4-20 sacrifice
5-5-1 fed
5-5-2 spot
5-5-3 respective
5-5-4 boost
5-5-5 informs
5-5-6 birthday
5-5-7 snape
5-5-8 mad
5-5-9 leprechaun
5-5-10 date
5-5-11 such
5-5-12 suck
5-5-13 truly
5-5-14 revealed
5-5-15 grow
5-5-16 man
5-5-17 classroom
5-5-18 narcissa
5-5-19 stress
5-5-20 natural
5-6-1 omen
5-6-2 summoning
5-6-3 whenever
5-6-4 borrowing
5-6-5 meddle
5-6-6 tale
5-6-7 provide
5-6-8 killers
5-6-9 arrangements
5-6-10 african
5-6-11 skirmish
5-6-12 reside
5-6-13 arrived
5-6-14 pulled
5-6-15 talk
5-6-16 framing
5-6-17 breaking
5-6-18 speculation
5-6-19 words
5-6-20 repair
5-7-1 indeed
5-7-2 pointed
5-7-3 haircut
5-7-4 wishing
5-7-5 raised
5-7-6 bewitching
5-7-7 years
5-7-8 professors
5-7-9 ended
5-7-10 surviving
5-7-11 dismissed
5-7-12 shake
5-7-13 cold
5-7-14 still
5-7-15 ravenclaws
5-7-16 birds
5-7-17 revenge
5-7-18 group
5-7-19 thank
5-7-20 curly
5-8-1 willow
5-8-2 interesting
5-8-3 organisation
5-8-4 proposed
5-8-5 vicinity
5-8-6 yorkshire
5-8-7 platform
5-8-8 window
5-8-9 offers
5-8-10 suspicion
5-8-11 celebrate
5-8-12 felicis
5-8-13 phineas
5-8-14 orchestrating
5-8-15 mail
5-8-16 main
5-8-17 decades
5-8-18 prisoners
5-8-19 limbo
5-8-20 happened
5-9-1 caractacus
5-9-2 lonely
5-9-3 amycus
5-9-4 smash
5-9-5 matches
5-9-6 sybill
5-9-7 hugs
5-9-8 undisclosed
5-9-9 shoulder
5-9-10 delighted
5-9-11 underneath
5-9-12 answer
5-9-13 recommences
5-9-14 touching
5-9-15 cowering
5-9-16 mismatched
5-9-17 half
5-9-18 arriving
5-9-19 sorted
5-9-20 now
5-10-1 hall
5-10-2 nor
5-10-3 possess
5-10-4 escorting
5-10-5 term
5-10-6 workload
5-10-7 strangles
5-10-8 name
5-10-9 thankful
5-10-10 servant
5-10-11 james
5-10-12 drop
5-10-13 revert
5-10-14 ridgeback
5-10-15 debating
5-10-16 bursts
5-10-17 realise
5-10-18 injury
5-10-19 entirely
5-10-20 interviews
5-11-1 repaired
5-11-2 trunks
5-11-3 retrieve
5-11-4 fired
5-11-5 bursting
5-11-6 vane
5-11-7 transfigures
5-11-8 torch
5-11-9 challenges
5-11-10 wrests
5-11-11 catching
5-11-12 farewell
5-11-13 entering
5-11-14 year
5-11-15 happen
5-11-16 worried
5-11-17 obsession
5-11-18 pills
5-11-19 amusement
5-11-20 plans
5-12-1 troll
5-12-2 emerges
5-12-3 shown
5-12-4 accomplish
5-12-5 balcony
5-12-6 charms
5-12-7 furthermore
5-12-8 interference
5-12-9 thirst
5-12-10 thicknesse
5-12-11 looking
5-12-12 dementor-induced
5-12-13 seriously
5-12-14 investigation
5-12-15 footsteps
5-12-16 kent
5-12-17 suggesting
5-12-18 instructions
5-12-19 hufflepuff
5-12-20 merpeople
5-13-1 correct
5-13-2 albus
5-13-3 shows
5-13-4 eagle
5-13-5 after
5-13-6 monster
5-13-7 contain
5-13-8 seventh
5-13-9 cart
5-13-10 quite
5-13-11 screaming
5-13-12 bumps
5-13-13 obituaries
5-13-14 unwanted
5-13-15 besides
5-13-16 severus
5-13-17 parvati
5-13-18 scarred
5-13-19 orb
5-13-20 inevitable
5-14-1 card
5-14-2 care
5-14-3 partner
5-14-4 advance
5-14-5 training
5-14-6 roosters
5-14-7 language
5-14-8 ministry
5-14-9 locations
5-14-10 where
5-14-11 disillusionment
5-14-12 transition
5-14-13 dirk
5-14-14 british
5-14-15 thing
5-14-16 overachieving
5-14-17 place
5-14-18 aboard
5-14-19 invitation
5-14-20 hooch
5-15-1 view
5-15-2 think
5-15-3 teammates
5-15-4 first
5-15-5 emotion
5-15-6 romania
5-15-7 leg-locker
5-15-8 saving
5-15-9 curiosity
5-15-10 malkin
5-15-11 fleeing
5-15-12 spoken
5-15-13 dungeons
5-15-14 champions
5-15-15 waves
5-15-16 potter
5-15-17 parkinson
5-15-18 one
5-15-19 albania
5-15-20 submit
5-16-1 directly
5-16-2 vote
5-16-3 impossible
5-16-4 message
5-16-5 open
5-16-6 dursleys
5-16-7 size
5-16-8 howler
5-16-9 city
5-16-10 given
5-16-11 officials
5-16-12 humiliation
5-16-13 syllabus
5-16-14 arch
5-16-15 caught
5-16-16 garrick
5-16-17 conclusion
5-16-18 response
5-16-19 anyone
5-16-20 acquired
5-17-1 returns
5-17-2 fought
5-17-3 terrifying
5-17-4 escort
5-17-5 imposter
5-17-6 headmasters
5-17-7 white
5-17-8 mclaggen
5-17-9 friend
5-17-10 gives
5-17-11 eyes
5-17-12 hug
5-17-13 mealtimes
5-17-14 that
5-17-15 season
5-17-16 numbers
5-17-17 proving
5-17-18 refuse
5-17-19 betray
5-17-20 hut
5-18-1 prowling
5-18-2 slashed
5-18-3 infatuated
5-18-4 imbued
5-18-5 macmillan
5-18-6 than
5-18-7 infiltrate
5-18-8 petrified
5-18-9 cracks
5-18-10 stayed
5-18-11 unfortunately
5-18-12 depressed
5-18-13 rival
5-18-14 susan
5-18-15 transferred
5-18-16 non-stop
5-18-17 war
5-18-18 build
5-18-19 future
5-18-20 snogging
5-19-1 aragog
5-19-2 venture
5-19-3 were
5-19-4 cards
5-19-5 poisoning
5-19-6 gigantic
5-19-7 marauder
5-19-8 bravery
5-19-9 slashing
5-19-10 and
5-19-11 mountain
5-19-12 troublesome
5-19-13 illness
5-19-14 flatly
5-19-15 supremacist
5-19-16 revolt
5-19-17 topics
5-19-18 turned
5-19-19 argument
5-19-20 alley
5-20-1 voices
5-20-2 say
5-20-3 conspiracy
5-20-4 stash
5-20-5 lurking
5-20-6 portrait
5-20-7 breakfast
5-20-8 saw
5-20-9 any
5-20-10 sat
5-20-11 descend
5-20-12 hooded
5-20-13 offering
5-20-14 luring
5-20-15 chessboard
5-20-16 offer
5-20-17 aside
5-20-18 shocked
5-20-19 zoo
5-20-20 note
6-1-1 equipment
6-1-2 clearwater
6-1-3 barbs
6-1-4 take
6-1-5 resembling
6-1-6 wanting
6-1-7 blinding
6-1-8 becoming
6-1-9 channel
6-1-10 enrolling
6-1-11 urge
6-1-12 begin
6-1-13 sure
6-1-14 pain
6-1-15 trace
6-1-16 normal
6-1-17 arguing
6-1-18 knew
6-1-19 betrayal
6-1-20 fails
6-2-1 paid
6-2-2 falls
6-2-3 visitors
6-2-4 assault
6-2-5 disrupted
6-2-6 minions
6-2-7 pair
6-2-8 librarian
6-2-9 cleared
6-2-10 damage
6-2-11 probes
6-2-12 forever
6-2-13 acknowledges
6-2-14 especially
6-2-15 surprising
6-2-16 failure
6-2-17 considered
6-2-18 dream
6-2-19 removed
6-2-20 later
6-3-1 implications
6-3-2 drive
6-3-3 sixteen-year-old
6-3-4 mrs
6-3-5 managing
6-3-6 chorley
6-3-7 hippogriffs
6-3-8 corroborate
6-3-9 uncle
6-3-10 neck
6-3-11 uncovered
6-3-12 filing
6-3-13 eliminating
6-3-14 shrieking
6-3-15 shop
6-3-16 walking
6-3-17 monstrous
6-3-18 reply
6-3-19 show
6-3-20 cheat
6-4-1 recipe
6-4-2 zabini
6-4-3 fifty
6-4-4 percy
6-4-5 hopes
6-4-6 bright
6-4-7 irreparably
6-4-8 prefects
6-4-9 fletcher
6-4-10 existence
6-4-11 corner
6-4-12 blood-replenishing
6-4-13 fifth
6-4-14 ground
6-4-15 cadogan
6-4-16 boundaries
6-4-17 restricted-books
6-4-18 upgrade
6-4-19 brutally
6-4-20 stair
6-5-1 title
6-5-2 hills
6-5-3 cryptic
6-5-4 observe
6-5-5 stained
6-5-6 storms
6-5-7 cloak
6-5-8 texture
6-5-9 either
6-5-10 winged
6-5-11 tears
6-5-12 going
6-5-13 black
6-5-14 faith
6-5-15 defenders
6-5-16 outrage
6-5-17 robe
6-5-18 wool
6-5-19 shrill
6-5-20 apparating
6-6-1 pumpkin
6-6-2 predict
6-6-3 guarded
6-6-4 explosion
6-6-5 vindictively
6-6-6 hungarian
6-6-7 get
6-6-8 committed
6-6-9 cannon
6-6-10 ensues
6-6-11 attacking
6-6-12 mortally
6-6-13 duel
6-6-14 tricked
6-6-15 cursing
6-6-16 unimportant
6-6-17 cannot
6-6-18 bothering
6-6-19 nearly
6-6-20 mafalda
6-7-1 ambushed
6-7-2 hedge
6-7-3 trade
6-7-4 event
6-7-5 stroll
6-7-6 prime
6-7-7 reveal
6-7-8 regarding
6-7-9 muggle-born
6-7-10 held
6-7-11 brockdale
6-7-12 sabotage
6-7-13 hinges
6-7-14 remus
6-7-15 borrow
6-7-16 morning
6-7-17 naked
6-7-18 network
6-7-19 alicia
6-7-20 miles
6-8-1 predicted
6-8-2 brewing
6-8-3 worries
6-8-4 uncover
6-8-5 finishing
6-8-6 tent
6-8-7 discussing
6-8-8 vision
6-8-9 bulgaria
6-8-10 reveals
6-8-11 stag
6-8-12 surprisingly
6-8-13 reconnect
6-8-14 burst
6-8-15 grindylows
6-8-16 attached
6-8-17 violated
6-8-18 replies
6-8-19 seat
6-8-20 connections
6-9-1 asleep
6-9-2 declares
6-9-3 ignores
6-9-4 seal
6-9-5 apologies
6-9-6 weighing
6-9-7 smashes
6-9-8 dives
6-9-9 concern
6-9-10 physiology
6-9-11 suspects
6-9-12 satisfying
6-9-13 parent
6-9-14 ways
6-9-15 jumped
6-9-16 dormitory
6-9-17 outside
6-9-18 invokes
6-9-19 recognisable
6-9-20 between
6-10-1 affecting
6-10-2 navigates
6-10-3 enjoys
6-10-4 reading
6-10-5 across
6-10-6 toying
6-10-7 jumper
6-10-8 corridors
6-10-9 notice
6-10-10 jobs
6-10-11 mature
6-10-12 rumours
6-10-13 teddy
6-10-14 apparition
6-10-15 bump
6-10-16 aversion
6-10-17 flayed
6-10-18 pained
6-10-19 killing
6-10-20 blame
6-11-1 grawp
6-11-2 fiddling
6-11-3 awards
6-11-4 tobias
6-11-5 hurts
6-11-6 cedric
6-11-7 article
6-11-8 childbirth
6-11-9 come
6-11-10 undermine
6-11-11 smeltings
6-11-12 reaction
6-11-13 dates
6-11-14 horrifying
6-11-15 wanders
6-11-16 fliers
6-11-17 many
6-11-18 according
6-11-19 blasts
6-11-20 tour
6-12-1 sacked
6-12-2 workplace
6-12-3 newfound
6-12-4 desperately
6-12-5 reluctantly
6-12-6 conducting
6-12-7 borrowed
6-12-8 expression
6-12-9 gringotts
6-12-10 nearby
6-12-11 riddle
6-12-12 among
6-12-13 directs
6-12-14 cornered
6-12-15 afterwards
6-12-16 rejoin
6-12-17 hand-me-down
6-12-18 bricks
6-12-19 effective
6-12-20 colony
6-13-1 period
6-13-2 unwilling
6-13-3 accusation
6-13-4 bagman
6-13-5 walden
6-13-6 sickly
6-13-7 learning
6-13-8 incantatem
6-13-9 disliking
6-13-10 bizarre
6-13-11 consider
6-13-12 stroking
6-13-13 boat
6-13-14 adults
6-13-15 handing
6-13-16 better
6-13-17 arts
6-13-18 oliver
6-13-19 capable
6-13-20 west
6-14-1 informed
6-14-2 mark
6-14-3 diggle
6-14-4 raging
6-14-5 punished
6-14-6 blackmails
6-14-7 butterbeer
6-14-8 viewing
6-14-9 evict
6-14-10 cords
6-14-11 booming
6-14-12 hardly
6-14-13 mary
6-14-14 disclosed
6-14-15 wants
6-14-16 direction
6-14-17 tournament
6-14-18 spare
6-14-19 disagrees
6-14-20 graveyard
6-15-1 recruiting
6-15-2 hung
6-15-3 offered
6-15-4 commands
6-15-5 mocking
6-15-6 whooping
6-15-7 wake
6-15-8 minister
6-15-9 eaters
6-15-10 suspected
6-15-11 intervenes
6-15-12 evidence
6-15-13 former
6-15-14 those
6-15-15 talented
6-15-16 sound
6-15-17 concerns
6-15-18 winky
6-15-19 these
6-15-20 bereft
6-16-1 pretence
6-16-2 voldemort
6-16-3 arnold
6-16-4 easier
6-16-5 trick
6-16-6 cast
6-16-7 tragedy
6-16-8 apologises
6-16-9 promising
6-16-10 newspaper
6-16-11 investigating
6-16-12 mimsy-porpington
6-16-13 pitch
6-16-14 invited
6-16-15 amusing
6-16-16 fool
6-16-17 hastiness
6-16-18 riddle-harry
6-16-19 aiding
6-16-20 eventually
6-17-1 pensieve
6-17-2 figurines
6-17-3 engaged
6-17-4 coffee
6-17-5 dubious
6-17-6 sleeping
6-17-7 middle
6-17-8 someone
6-17-9 unlikelihood
6-17-10 limping
6-17-11 whimpering
6-17-12 argue
6-17-13 somebody
6-17-14 petunia
6-17-15 fame
6-17-16 worry
6-17-17 intercepted
6-17-18 off-balance
6-17-19 different
6-17-20 pat
6-18-1 residence
6-18-2 author
6-18-3 pay
6-18-4 lightning-shaped
6-18-5 reminded
6-18-6 same
6-18-7 check
6-18-8 figuring
6-18-9 wizards
6-18-10 speech
6-18-11 angered
6-18-12 buys
6-18-13 struggling
6-18-14 subtly
6-18-15 isle
6-18-16 pan
6-18-17 week
6-18-18 noble
6-18-19 finish
6-18-20 assigns
6-19-1 quirinus
6-19-2 boosted
6-19-3 reverts
6-19-4 barges
6-19-5 drives
6-19-6 driven
6-19-7 running
6-19-8 codes
6-19-9 statue
6-19-10 intended
6-19-11 changing
6-19-12 full-fledged
6-19-13 six
6-19-14 booster
6-19-15 implements
6-19-16 bane
6-19-17 drain
6-19-18 escorts
6-19-19 traps
6-19-20 keeping
6-20-1 puzzled
6-20-2 charges
6-20-3 flies
6-20-4 summon
6-20-5 magical
6-20-6 severe
6-20-7 without
6-20-8 solve
6-20-9 comes
6-20-10 bottle
6-20-11 model
6-20-12 otherwise
6-20-13 effects
6-20-14 taxi
6-20-15 summer
6-20-16 bludger
6-20-17 peace
6-20-18 unendurable
6-20-19 dosage
6-20-20 object
7-1-1 being
7-1-2 money
7-1-3 armour
7-1-4 exaggerating
7-1-5 rest
7-1-6 risking
7-1-7 violent
7-1-8 reputable
7-1-9 kill
7-1-10 vanquished
7-1-11 ancestral
7-1-12 touch
7-1-13 dementor
7-1-14 pureblood
7-1-15 speed
7-1-16 guides
7-1-17 captured
7-1-18 harbouring
7-1-19 pomfrey
7-1-20 burke
7-2-1 death
7-2-2 represented
7-2-3 excuses
7-2-4 thinking
7-2-5 trigger
7-2-6 hufflepuffs
7-2-7 seems
7-2-8 except
7-2-9 confirmed
7-2-10 lets
7-2-11 setting
7-2-12 dippet
7-2-13 treatment
7-2-14 ghostly
7-2-15 thoughts
7-2-16 struck
7-2-17 heavier
7-2-18 dulls
7-2-19 careers
7-2-20 scheduled
7-3-1 hover
7-3-2 boomslang
7-3-3 around
7-3-4 kills
7-3-5 marcus
7-3-6 rules
7-3-7 offence
7-3-8 disappearance
7-3-9 handling
7-3-10 absent-mindedly
7-3-11 comparing
7-3-12 gonna
7-3-13 early
7-3-14 ire
7-3-15 notified
7-3-16 preference
7-3-17 listening
7-3-18 vacuum
7-3-19 culprits
7-3-20 world
7-4-1 snare
7-4-2 accepted
7-4-3 lady
7-4-4 vague
7-4-5 stuns
7-4-6 furniture
7-4-7 bewitches
7-4-8 danger
7-4-9 patronus
7-4-10 stranger
7-4-11 identifying
7-4-12 postcard
7-4-13 buddies
7-4-14 greeting
7-4-15 oddly
7-4-16 sanity
7-4-17 chamber
7-4-18 oblivion
7-4-19 pure-blood
7-4-20 superiority
7-5-1 nose
7-5-2 bewitched
7-5-3 occasions
7-5-4 recalls
7-5-5 tower
7-5-6 stationary
7-5-7 reform
7-5-8 triwizard
7-5-9 snatches
7-5-10 sack
7-5-11 fish-like
7-5-12 laugh
7-5-13 verbal
7-5-14 witchcraft
7-5-15 defends
7-5-16 imprisonment
7-5-17 competition
7-5-18 erase
7-5-19 resorts
7-5-20 kings
7-6-1 perkins
7-6-2 denominated
7-6-3 racial
7-6-4 rocks
7-6-5 top-secret
7-6-6 thinks
7-6-7 accomplice
7-6-8 buried
7-6-9 chasers
7-6-10 provided
7-6-11 mood
7-6-12 disguise
7-6-13 confirm
7-6-14 pale-faced
7-6-15 memories
7-6-16 squire
7-6-17 defenceless
7-6-18 dudley
7-6-19 stops
7-6-20 moon
7-7-1 throat
7-7-2 critical
7-7-3 exit
7-7-4 provides
7-7-5 dies
7-7-6 compulsion
7-7-7 knife
7-7-8 mead
7-7-9 unsuccessfully
7-7-10 caring
7-7-11 felt
7-7-12 tomorrow
7-7-13 profusely
7-7-14 power
7-7-15 apparation
7-7-16 seconds
7-7-17 sixth
7-7-18 seedlings
7-7-19 communicate
7-7-20 unusual
7-8-1 update
7-8-2 pertaining
7-8-3 broken
7-8-4 punishes
7-8-5 terrified
7-8-6 sixty
7-8-7 resurrection
7-8-8 exciting
7-8-9 tonks
7-8-10 throw
7-8-11 fondness
7-8-12 grubbly-plank
7-8-13 regulations
7-8-14 stone
7-8-15 awakening
7-8-16 package
7-8-17 island
7-8-18 cares
7-8-19 fights
7-8-20 greater
7-9-1 snr
7-9-2 informing
7-9-3 legs
7-9-4 stand
7-9-5 recalled
7-9-6 act
7-9-7 sadistic
7-9-8 plotting
7-9-9 gregory
7-9-10 mean
7-9-11 blackmailed
7-9-12 other
7-9-13 road
7-9-14 heavy
7-9-15 quietly
7-9-16 lands
7-9-17 protests
7-9-18 burning
7-9-19 curses
7-9-20 image
7-10-1 child
7-10-2 speculates
7-10-3 penelope
7-10-4 marjorie
7-10-5 involvement
7-10-6 determine
7-10-7 heated
7-10-8 mudblood
7-10-9 lastly
7-10-10 your
7-10-11 upstairs
7-10-12 stare
7-10-13 mad-eye
7-10-14 fill
7-10-15 her
7-10-16 area
7-10-17 removing
7-10-18 there
7-10-19 betrays
7-10-20 tottenham
7-11-1 taunts
7-11-2 start
7-11-3 confrontation
7-11-4 unspoken
7-11-5 acquiesces
7-11-6 low
7-11-7 lot
7-11-8 series
7-11-9 slowly
7-11-10 sloper
7-11-11 assumes
7-11-12 pretends
7-11-13 survives
7-11-14 miserable
7-11-15 thirteenth
7-11-16 relic
7-11-17 complete
7-11-18 enough
7-11-19 unsettled
7-11-20 smuggling
7-12-1 co-worker
7-12-2 strikes
7-12-3 defeating
7-12-4 land
7-12-5 staircases
7-12-6 judged
7-12-7 survived
7-12-8 cottage
7-12-9 ministry-approved
7-12-10 mice
7-12-11 trying
7-12-12 with
7-12-13 longer
7-12-14 pull
7-12-15 rush
7-12-16 fraud
7-12-17 arranged
7-12-18 hallows
7-12-19 embedded
7-12-20 rage
7-13-1 proceeds
7-13-2 commentating
7-13-3 excessive
7-13-4 ruse
7-13-5 sacks
7-13-6 taught
7-13-7 criticised
7-13-8 magnolia
7-13-9 grasp
7-13-10 grass
7-13-11 potters
7-13-12 attraction
7-13-13 beware
7-13-14 strongly
7-13-15 gone
7-13-16 morfin
7-13-17 hated
7-13-18 subdue
7-13-19 momentarily
7-13-20 certain
7-14-1 defences
7-14-2 moved
7-14-3 apparate
7-14-4 strips
7-14-5 general
7-14-6 alarm
7-14-7 examine
7-14-8 associating
7-14-9 together
7-14-10 walks
7-14-11 girlfriend
7-14-12 watched
7-14-13 moves
7-14-14 divination
7-14-15 ghosts
7-14-16 film
7-14-17 audience
7-14-18 again
7-14-19 cabinets
7-14-20 stationed
7-15-1 extract
7-15-2 hybrid
7-15-3 krum
7-15-4 sympathetically
7-15-5 blinded
7-15-6 field
7-15-7 housework
7-15-8 implied
7-15-9 remarks
7-15-10 biassed
7-15-11 evenings
7-15-12 gambling
7-15-13 you
7-15-14 really
7-15-15 dismayed
7-15-16 thousand
7-15-17 poor
7-15-18 briefly
7-15-19 championship
7-15-20 obsessed
7-16-1 separate
7-16-2 students
7-16-3 symbol
7-16-4 teeth
7-16-5 forgot
7-16-6 misfortune
7-16-7 includes
7-16-8 waving
7-16-9 important
7-16-10 peak
7-16-11 recognise
7-16-12 snitch
7-16-13 included
7-16-14 tendencies
7-16-15 prongs
7-16-16 pool
7-16-17 realising
7-16-18 tricky
7-16-19 motorcycle
7-16-20 ernie
7-17-1 calls
7-17-2 photos
7-17-3 controlled
7-17-4 casts
7-17-5 tricks
7-17-6 rescues
7-17-7 exhausting
7-17-8 investigated
7-17-9 burrow
7-17-10 mass
7-17-11 satisfied
7-17-12 doubted
7-17-13 restricted
7-17-14 alright
7-17-15 cores
7-17-16 signalling
7-17-17 starting
7-17-18 original
7-17-19 all
7-17-20 liar
7-18-1 forget
7-18-2 pointing
7-18-3 caused
7-18-4 forbidden
7-18-5 lack
7-18-6 alerting
7-18-7 month
7-18-8 bravest
7-18-9 ceased
7-18-10 winnings
7-18-11 talks
7-18-12 follow
7-18-13 cat-loving
7-18-14 mason
7-18-15 children
7-18-16 causes
7-18-17 reluctant
7-18-18 victoriously
7-18-19 shattered
7-18-20 glimpse
7-19-1 careful
7-19-2 referring
7-19-3 hepzibah
7-19-4 instinctively
7-19-5 switched
7-19-6 acting
7-19-7 thursday
7-19-8 good
7-19-9 victoire
7-19-10 tail
7-19-11 preserved
7-19-12 coldly
7-19-13 smile
7-19-14 enjoying
7-19-15 side-car
7-19-16 levicorpus
7-19-17 paying
7-19-18 belonging
7-19-19 woman
7-19-20 proved
7-20-1 returned
7-20-2 spreading
7-20-3 returning
7-20-4 very
7-20-5 depths
7-20-6 horror
7-20-7 robes
7-20-8 detention
7-20-9 fat
7-20-10 focus
7-20-11 crestfallen
7-20-12 rogue
7-20-13 fan
7-20-14 decide
7-20-15 fall
7-20-16 welcoming
7-20-17 ticket
7-20-18 difference
7-20-19 rebounds
7-20-20 condition
8-1-1 switches
8-1-2 alecto
8-1-3 stag-shaped
8-1-4 ageing
8-1-5 celebrity
8-1-6 list
8-1-7 joined
8-1-8 punish
8-1-9 grandfather
8-1-10 large
8-1-11 collect
8-1-12 manages
8-1-13 filling
8-1-14 wearer
8-1-15 harry
8-1-16 small
8-1-17 bench
8-1-18 smith
8-1-19 extraordinary
8-1-20 programme
8-2-1 appointment
8-2-2 owned
8-2-3 binds
8-2-4 ten
8-2-5 crashes
8-2-6 tea
8-2-7 steaks
8-2-8 streets
8-2-9 grabs
8-2-10 healed
8-2-11 knitted
8-2-12 rate
8-2-13 shacklebolt
8-2-14 carriages
8-2-15 displays
8-2-16 runcorn
8-2-17 pass
8-2-18 authority
8-2-19 further
8-2-20 befriends
8-3-1 imposing
8-3-2 creatures
8-3-3 feigns
8-3-4 what
8-3-5 defence
8-3-6 darkness
8-3-7 witnessed
8-3-8 deeply
8-3-9 section
8-3-10 protesting
8-3-11 stool
8-3-12 brief
8-3-13 emotions
8-3-14 spellotape
8-3-15 witnesses
8-3-16 triple-decker
8-3-17 version
8-3-18 hand-knit
8-3-19 learned
8-3-20 capturing
8-4-1 public
8-4-2 handy
8-4-3 revealing
8-4-4 unsurprisingly
8-4-5 full
8-4-6 escaping
8-4-7 recruits
8-4-8 loose
8-4-9 poses
8-4-10 supposedly
8-4-11 answers
8-4-12 vomiting
8-4-13 hours
8-4-14 squeezed
8-4-15 diggory
8-4-16 suicide
8-4-17 situation
8-4-18 directions
8-4-19 praises
8-4-20 november
8-5-1 standard
8-5-2 respect
8-5-3 shops
8-5-4 punchline
8-5-5 search
8-5-6 potential
8-5-7 creeps
8-5-8 sender
8-5-9 ahead
8-5-10 difficulty
8-5-11 disbands
8-5-12 beauxbatons
8-5-13 allows
8-5-14 experience
8-5-15 prior
8-5-16 amount
8-5-17 textbook
8-5-18 horrified
8-5-19 pick
8-5-20 real
8-6-1 mentions
8-6-2 murdering
8-6-3 criticises
8-6-4 smuggle
8-6-5 rummaging
8-6-6 struggle
8-6-7 counters
8-6-8 technique
8-6-9 followed
8-6-10 family
8-6-11 suddenly
8-6-12 mundungus
8-6-13 emptied
