The Passphrase Is Strong With This One
A Star Wars-inspired Wordlist
This wordlist was created by identifying the unique words in some of the most popular user-created pages at FANDOM's starwars.wikia.com. They are numbered to correspond with three roles of a 20-sided die. 
The list was created by the Electronic Frontier Foundation and maybe freely distributed use under the Creative Commons Attribution 3.0 United States license.
Any trademarks within the word list are the property of their respective trademark holders, who are not affiliated with the Electronic Frontier Foundation and do not sponsor or endorse these passwords.
1-1-1 aided
1-1-2 child
4-17-8 cannot
4-17-9 nearly
4-17-10 strafing
4-17-11 installed
4-17-12 celebrate
4-17-13 homestead
4-17-14 prime
4-17-15 reveal
4-17-16 whacks
4-17-17 rejuvenation
4-17-18 finalizer
4-17-19 communicates
4-17-20 parasitic
4-18-1 slaughters
4-18-2 mon
4-18-3 morning
4-18-4 scientist
4-18-5 jabba
4-18-6 finishing
4-18-7 where
4-18-8 vision
4-18-9 reveals
4-18-10 succeeding
4-18-11 burst
4-18-12 encourages
4-18-13 espa
4-18-14 jundland
4-18-15 signs
4-18-16 executrix
4-18-17 flaming
4-18-18 elected
4-18-19 asleep
4-18-20 declares
4-19-1 existence
4-19-2 separately
4-19-3 surgery
4-19-4 reputed
4-19-5 rages
4-19-6 fails
4-19-7 detect
4-19-8 wielding
4-19-9 ways
4-19-10 subsequent
4-19-11 weapons
4-19-12 outside
4-19-13 abdomen
4-19-14 joy
4-19-15 affecting
4-19-16 bombing
4-19-17 across
4-19-18 anew
4-19-19 corridors
4-19-20 lucrehulk-class
4-20-1 notice
4-20-2 koon
4-20-3 rumours
4-20-4 parental
4-20-5 molten
4-20-6 killing
4-20-7 blame
4-20-8 reigns
4-20-9 telekinesis
4-20-10 unusually
4-20-11 harshly
4-20-12 childbirth
4-20-13 come
4-20-14 tug
4-20-15 superlaser
4-20-16 reaction
4-20-17 mans
4-20-18 installation
4-20-19 wanders
4-20-20 resides
5-1-1 turbolaser
5-1-2 many
5-1-3 quiet
5-1-4 blasts
5-1-5 resided
5-1-6 present
5-1-7 reluctantly
5-1-8 senesca
5-1-9 summa-verminoth
5-1-10 backpack
5-1-11 comes
5-1-12 nearby
5-1-13 among
5-1-14 cornered
5-1-15 como
5-1-16 continuation
5-1-17 compels
5-1-18 concussion
5-1-19 colony
5-1-20 trio
5-2-1 crolute
5-2-2 twin
5-2-3 grants
5-2-4 learning
5-2-5 pod
5-2-6 poe
5-2-7 custody
5-2-8 better
5-2-9 evacuate
5-2-10 capable
5-2-11 mounting
5-2-12 rebuild
5-2-13 recaptured
5-2-14 informed
5-2-15 escalated
5-2-16 repels
5-2-17 cared
5-2-18 dark-side
5-2-19 punished
5-2-20 blackmails
5-3-1 dangers
5-3-2 reflective
5-3-3 rebuilt
5-3-4 exhaustion
5-3-5 wants
5-3-6 concentrated
5-3-7 graveyard
5-3-8 re-emergence
5-3-9 thousand
5-3-10 amilyn
5-3-11 resistance
5-3-12 tantrum
5-3-13 wounds
5-3-14 haunt
5-3-15 drawer
5-3-16 implores
5-3-17 loadlifters
5-3-18 sidious
5-3-19 spirit
5-3-20 those
5-4-1 pilot
5-4-2 sound
5-4-3 shaft
5-4-4 crumb
5-4-5 these
5-4-6 isolated
5-4-7 mount
5-4-8 executes
5-4-9 trick
5-4-10 ongoing
5-4-11 ignition
5-4-12 situation
5-4-13 awakened
5-4-14 tantive
5-4-15 jedha
5-4-16 punches
5-4-17 then
5-4-18 servant
5-4-19 twists
5-4-20 engaged
5-5-1 commandeers
5-5-2 according
5-5-3 middle
5-5-4 good
5-5-5 embrace
5-5-6 commanded
5-5-7 engages
5-5-8 decisively
5-5-9 worry
5-5-10 helmet
5-5-11 different
5-5-12 missiles
5-5-13 shuts
5-5-14 pau
5-5-15 compromised
5-5-16 threatens
5-5-17 granted
5-5-18 seeking
5-5-19 spiraling
5-5-20 same
5-6-1 data
5-6-2 shifts
5-6-3 bows
5-6-4 bowels
5-6-5 angered
5-6-6 debriefs
5-6-7 poggle
5-6-8 hauls
5-6-9 struggling
5-6-10 physical
5-6-11 deserting
5-6-12 events
5-6-13 musters
5-6-14 exhaust
5-6-15 finish
5-6-16 thunderbolt
5-6-17 abandoned
5-6-18 nest
5-6-19 devours
5-6-20 muffled
5-7-1 companion
5-7-2 driven
5-7-3 qui-gon
5-7-4 running
5-7-5 senator
5-7-6 changing
5-7-7 speechless
5-7-8 six
5-7-9 booster
5-7-10 slicing
5-7-11 severs
5-7-12 dotted
5-7-13 revelations
5-7-14 charges
5-7-15 disregards
5-7-16 disappearing
5-7-17 prequel
5-7-18 severe
5-7-19 without
5-7-20 relief
5-8-1 communications
5-8-2 very
5-8-3 termination
5-8-4 model
5-8-5 reward
5-8-6 bodies
5-8-7 effects
5-8-8 gangs
5-8-9 being
5-8-10 when
5-8-11 guided
5-8-12 rest
5-8-13 incinerating
5-8-14 shouts
5-8-15 sweeping
5-8-16 violent
5-8-17 kill
5-8-18 dueling
5-8-19 captured
5-8-20 savareen
5-9-1 blow
5-9-2 death
5-9-3 staging
5-9-4 generator
5-9-5 îmwe
5-9-6 thinking
5-9-7 rose
5-9-8 seems
5-9-9 except
5-9-10 smugglers
5-9-11 confirmed
5-9-12 meteorite
5-9-13 treatment
5-9-14 overthrow
5-9-15 role
5-9-16 sucked
5-9-17 sea
5-9-18 real
5-9-19 defected
5-9-20 defection
5-10-1 around
5-10-2 kills
5-10-3 easily
5-10-4 mos
5-10-5 rejoin
5-10-6 gas-mining
5-10-7 dark
5-10-8 scraps
5-10-9 traffic
5-10-10 bandage
5-10-11 secrecy
5-10-12 cavern
5-10-13 using
5-10-14 execution
5-10-15 disappointed
5-10-16 vague
5-10-17 rear
5-10-18 rathtar
5-10-19 fortuna
5-10-20 at-st
5-11-1 designation
5-11-2 maintained
5-11-3 serves
5-11-4 lightning
5-11-5 facing
5-11-6 chamber
5-11-7 audience
5-11-8 either
5-11-9 descend
5-11-10 completely
5-11-11 recalls
5-11-12 tower
5-11-13 passionate
5-11-14 reduced
5-11-15 scuffle
5-11-16 snatches
5-11-17 explaining
5-11-18 hacks
5-11-19 bantha
5-11-20 podrace
5-12-1 table
5-12-2 thinks
5-12-3 dameron
5-12-4 slaughtering
5-12-5 starfighter
5-12-6 nooo
5-12-7 extensively
5-12-8 stops
5-12-9 moon
5-12-10 throat
5-12-11 fringes
5-12-12 carida
5-12-13 respects
5-12-14 chasez
5-12-15 severed
5-12-16 destroys
5-12-17 power
5-12-18 relented
5-12-19 seconds
5-12-20 convincing
5-13-1 strangles
5-13-2 slaughter
5-13-3 credits
5-13-4 leadership
5-13-5 starship
5-13-6 terrified
5-13-7 sixty
5-13-8 anticipated
5-13-9 squadmate
5-13-10 throw
5-13-11 beaches
5-13-12 stone
5-13-13 island
5-13-14 piett
5-13-15 favorite
5-13-16 inviting
5-13-17 kafrene
5-13-18 meal
5-13-19 informing
5-13-20 stand
5-14-1 act
5-14-2 comatose
5-14-3 mean
5-14-4 freeing
5-14-5 quietly
5-14-6 lands
5-14-7 protests
5-14-8 burning
5-14-9 interfacing
5-14-10 implantation
5-14-11 communication
5-14-12 spreading
5-14-13 skilled
5-14-14 point-blank
5-14-15 ruminates
5-14-16 rising
5-14-17 shipbuilding
5-14-18 parties
5-14-19 quadjumper
5-14-20 unanesthesized
5-15-1 your
5-15-2 lando
5-15-3 tropical
5-15-4 fast
5-15-5 gunfight
5-15-6 prepare
5-15-7 area
5-15-8 downed
5-15-9 there
5-15-10 sides
5-15-11 lor
5-15-12 start
5-15-13 stealth
5-15-14 impromptu
5-15-15 low
5-15-16 sealed
5-15-17 assumes
5-15-18 mainframe
5-15-19 complete
5-15-20 kyber
5-16-1 drains
5-16-2 outcrop
5-16-3 smuggling
5-16-4 malbus
5-16-5 strikes
5-16-6 spider
5-16-7 suffers
5-16-8 survived
5-16-9 clones
5-16-10 trying
5-16-11 with
5-16-12 outskirts
5-16-13 pull
5-16-14 rush
5-16-15 rescuing
5-16-16 rage
5-16-17 jakku
5-16-18 breath
5-16-19 nearest
5-16-20 sadness
5-17-1 taught
5-17-2 dirty
5-17-3 dubbing
5-17-4 clone
5-17-5 torso
5-17-6 agree
5-17-7 gone
5-17-8 telepathic
5-17-9 subdue
5-17-10 cinema
5-17-11 momentarily
5-17-12 certain
5-17-13 describe
5-17-14 moved
5-17-15 sales
5-17-16 deep
5-17-17 general
5-17-18 ensuing
5-17-19 grasped
5-17-20 planets
5-18-1 walks
5-18-2 moves
5-18-3 cables
5-18-4 film
5-18-5 nerf
5-18-6 ward
5-18-7 again
5-18-8 fiddles
5-18-9 consensus
5-18-10 antenna
5-18-11 half-completed
5-18-12 coruscant
5-18-13 erecting
5-18-14 field
5-18-15 abednedo
5-18-16 valid
5-18-17 remarks
5-18-18 dreadnought
5-18-19 delays
5-18-20 you
5-19-1 forcing
5-19-2 inspire
5-19-3 offered
5-19-4 gaining
5-19-5 fatone
5-19-6 briefly
5-19-7 may
5-19-8 separate
5-19-9 shelter
5-19-10 teeth
5-19-11 wields
5-19-12 includes
5-19-13 gifts
5-19-14 important
5-19-15 carbonite
5-19-16 transporting
5-19-17 chris
5-19-18 building
5-19-19 paige
5-19-20 remote
5-20-1 applause
5-20-2 calls
5-20-3 wife
5-20-4 mothma
5-20-5 odds
5-20-6 mask
5-20-7 unscathed
5-20-8 rescues
5-20-9 principal
5-20-10 directors
5-20-11 mass
5-20-12 satisfied
5-20-13 unnatural
5-20-14 sensed
5-20-15 remarkable
5-20-16 transports
5-20-17 robert
5-20-18 represent
5-20-19 all
5-20-20 surrounded
6-1-1 consider
6-1-2 vile
6-1-3 caused
6-1-4 asteroids
6-1-5 projected
6-1-6 ksar
6-1-7 subtle
6-1-8 higher
6-1-9 suspected
6-1-10 talks
6-1-11 follow
6-1-12 meditation
6-1-13 settlement
6-1-14 children
6-1-15 causes
6-1-16 reluctant
6-1-17 shattered
6-1-18 apartment
6-1-19 ron
6-1-20 lining
6-2-1 nears
6-2-2 acting
6-2-3 former
6-2-4 destroyers
6-2-5 captivity
6-2-6 crimson
6-2-7 hideout
6-2-8 pledges
6-2-9 reneging
6-2-10 woman
6-2-11 appointment
6-2-12 returned
6-2-13 returning
6-2-14 far
6-2-15 horror
6-2-16 detention
6-2-17 eravana
6-2-18 blockade
6-2-19 rogue
6-2-20 fan
6-3-1 scour
6-3-2 decide
6-3-3 surprise
6-3-4 welcoming
6-3-5 encroaching
6-3-6 instigates
6-3-7 squadrons
6-3-8 cable
6-3-9 accompanying
6-3-10 whippendell
6-3-11 heist
6-3-12 grandfather
6-3-13 trench
6-3-14 sand
6-3-15 off-screen
6-3-16 small
6-3-17 conflicted
6-3-18 tribal
6-3-19 firefight
6-3-20 physically
6-4-1 andor
6-4-2 streets
6-4-3 past
6-4-4 negotiator
6-4-5 design
6-4-6 displays
6-4-7 pass
6-4-8 further
6-4-9 hamper
6-4-10 creatures
6-4-11 bribe
6-4-12 what
6-4-13 tataouine
6-4-14 darkness
6-4-15 witnessed
6-4-16 sun
6-4-17 wrecked
6-4-18 skywalker
6-4-19 brief
6-4-20 emotions
6-5-1 crush
6-5-2 public
6-5-3 jedi
6-5-4 fractional
6-5-5 learned
6-5-6 leia
6-5-7 method
6-5-8 contrast
6-5-9 revealing
6-5-10 outgoing
6-5-11 full
6-5-12 escaping
6-5-13 indistinctly
6-5-14 loose
6-5-15 leaping
6-5-16 answers
6-5-17 half-blinded
6-5-18 operating
6-5-19 directions
6-5-20 depend
6-6-1 november
6-6-2 strong
6-6-3 tragedy
6-6-4 search
6-6-5 stupor
6-6-6 temiri
6-6-7 mygeeto
6-6-8 inspired
6-6-9 losses
6-6-10 allows
6-6-11 experience
6-6-12 prior
6-6-13 horrified
6-6-14 pick
6-6-15 action
6-6-16 mentions
6-6-17 murdering
6-6-18 options
6-6-19 transmitter
6-6-20 relent
6-7-1 via
6-7-2 depart
6-7-3 lightsabers
6-7-4 family
6-7-5 suddenly
6-7-6 cowardly
6-7-7 backed
6-7-8 self-imposed
6-7-9 fearfully
6-7-10 force-tricked
6-7-11 trained
6-7-12 cantonica
6-7-13 cargo
6-7-14 pulls
6-7-15 crater
6-7-16 establish
6-7-17 honing
6-7-18 eye
6-7-19 takes
6-7-20 starkiller
6-8-1 two
6-8-2 resident
6-8-3 taken
6-8-4 restraints
6-8-5 injury
6-8-6 more
6-8-7 squid
6-8-8 door
6-8-9 knows
6-8-10 lush
6-8-11 company
6-8-12 captors
6-8-13 terror
6-8-14 landed
6-8-15 pursuers
6-8-16 encouragement
6-8-17 particular
6-8-18 known
6-8-19 intruders
6-8-20 commander
6-9-1 nineteen
6-9-2 disapproving
6-9-3 presumed
6-9-4 town
6-9-5 rips
6-9-6 leaps
6-9-7 include
6-9-8 shared
6-9-9 intercepted
6-9-10 guards
6-9-11 remain
6-9-12 rathtars
6-9-13 del
6-9-14 resources
6-9-15 learn
6-9-16 knocked
6-9-17 history
6-9-18 utapau
6-9-19 de-stabilize
6-9-20 stampede
6-10-1 fatally
6-10-2 pushes
6-10-3 prompting
6-10-4 gravely
6-10-5 share
6-10-6 accept
6-10-7 states
6-10-8 boga
6-10-9 breathing
6-10-10 numbers
6-10-11 sense
6-10-12 phrase
6-10-13 lacks
6-10-14 vocabulator
6-10-15 firmly
6-10-16 narrowly
6-10-17 information
6-10-18 needs
6-10-19 dopheld
6-10-20 advantage
6-11-1 tarkin
6-11-2 rather
6-11-3 imminent
6-11-4 lyra
6-11-5 acts
6-11-6 foreseen
6-11-7 needa
6-11-8 option
6-11-9 reject
6-11-10 dismisses
6-11-11 explains
6-11-12 creature
6-11-13 galactic
6-11-14 plans
6-11-15 vos’
6-11-16 lightning,torturing
6-11-17 advice
6-11-18 minimum
6-11-19 sneak
6-11-20 tries
6-12-1 disable
6-12-2 shooting
6-12-3 blood
6-12-4 coming
6-12-5 concentrating
6-12-6 plank
6-12-7 obi-wan
6-12-8 fathiers
6-12-9 chute
6-12-10 short
6-12-11 corps
6-12-12 deserter
6-12-13 departure
6-12-14 shore
6-12-15 responsibility
6-12-16 takodana
6-12-17 media
6-12-18 pleasure
6-12-19 encased
6-12-20 helplessly
6-13-1 thirsting
6-13-2 infant
6-13-3 help
6-13-4 torturous
6-13-5 disables
6-13-6 september
6-13-7 soon
6-13-8 trade
6-13-9 disabled
6-13-10 outraged
6-13-11 thermal
6-13-12 industrial
6-13-13 through
6-13-14 lava
6-13-15 replies
6-13-16 tivik
6-13-17 pretext
6-13-18 smiling
6-13-19 suffer
6-13-20 ejects
6-14-1 its
6-14-2 level
6-14-3 discloses
6-14-4 zemeckis
6-14-5 possessions
6-14-6 police
6-14-7 defends
6-14-8 late
6-14-9 non-corporeal
6-14-10 absence
6-14-11 systems
6-14-12 disagrees
6-14-13 mistakenly
6-14-14 draven
6-14-15 green-skinned
6-14-16 might
6-14-17 ally
6-14-18 underestimate
6-14-19 evening
6-14-20 return
6-15-1 glares
6-15-2 impacts
6-15-3 severely
6-15-4 food
6-15-5 propose
6-15-6 delivered
6-15-7 hunter
6-15-8 annihilated
6-15-9 slight
6-15-10 brutally
6-15-11 walls
6-15-12 moaning
6-15-13 comforted
6-15-14 compound
6-15-15 foot
6-15-16 hunted
6-15-17 detach
6-15-18 thief
6-15-19 instructions
6-15-20 vandor
6-16-1 desperately
6-16-2 frigate
6-16-3 stated
6-16-4 scuffles
6-16-5 imprisoned
6-16-6 pregnant
6-16-7 fully
6-16-8 intervene
6-16-9 dianoga
6-16-10 refresh
6-16-11 spy
6-16-12 mega-class
6-16-13 turns
6-16-14 found
6-16-15 repeating
6-16-16 friendship
6-16-17 notes
6-16-18 rims
6-16-19 referred
6-16-20 heavy
6-17-1 reactions
6-17-2 everyone
6-17-3 mental
6-17-4 house
6-17-5 energy
6-17-6 hard
6-17-7 idea
6-17-8 brother
6-17-9 kidnapping
6-17-10 operation
6-17-11 beyond
6-17-12 really
6-17-13 taunted
6-17-14 deals
6-17-15 davits
6-17-16 missed
6-17-17 bala-tik
6-17-18 trooper
6-17-19 since
6-17-20 meditating
6-18-1 hilt
6-18-2 research
6-18-3 misses
6-18-4 safety
6-18-5 executioners
6-18-6 shipment
6-18-7 hearing
6-18-8 issue
6-18-9 occurs
6-18-10 fled
6-18-11 drink
6-18-12 exodus
6-18-13 bass
6-18-14 rumor
6-18-15 deactivating
6-18-16 convocation
6-18-17 gut
6-18-18 dune
6-18-19 side-effects
6-18-20 reason
6-19-1 base
6-19-2 execute
6-19-3 members
6-19-4 put
6-19-5 teach
6-19-6 beginning
6-19-7 spread
6-19-8 wall
6-19-9 thrown
6-19-10 director
6-19-11 owners
6-19-12 launch
6-19-13 needing
6-19-14 commends
6-19-15 conducted
6-19-16 tatooinian
6-19-17 threat
6-19-18 mercilessly
6-19-19 embraced
6-19-20 castle
6-20-1 pilots
6-20-2 fallen
6-20-3 throws
6-20-4 snowspeeders
6-20-5 sabacc
6-20-6 uncontrolled
6-20-7 major
6-20-8 seeming
6-20-9 upper
6-20-10 feel
6-20-11 recruiting
6-20-12 eopie
6-20-13 knocking
6-20-14 number
6-20-15 twisted
6-20-16 elder
6-20-17 armitage
6-20-18 gazes
6-20-19 done
6-20-20 elevator
7-1-1 climbing
7-1-2 wager
7-1-3 visions
7-1-4 stage
7-1-5 villa
7-1-6 passes
7-1-7 story
7-1-8 heads
7-1-9 watches
7-1-10 script
7-1-11 leading
7-1-12 threatening
7-1-13 least
7-1-14 wingman
7-1-15 station
7-1-16 steals
7-1-17 storm
7-1-18 recovered
7-1-19 hoth
7-1-20 gial
7-2-1 selling
7-2-2 statement
7-2-3 trapped
7-2-4 convinces
7-2-5 park
7-2-6 shoulder
7-2-7 part
7-2-8 word
7-2-9 prodigious
7-2-10 treasures
7-2-11 believe
7-2-12 convinced
7-2-13 explodes
7-2-14 apprentice
7-2-15 albeit
7-2-16 kind
7-2-17 grew
7-2-18 determines
7-2-19 double
7-2-20 dagobah
7-3-1 recording
7-3-2 gree
7-3-3 ducks
7-3-4 battering
7-3-5 iv-vi
7-3-6 toward
7-3-7 jmel
7-3-8 remembers
7-3-9 risky
7-3-10 technician
7-3-11 deciding
7-3-12 uniforms
7-3-13 beckett
7-3-14 well
7-3-15 suspicious
7-3-16 y-wings
7-3-17 organa
7-3-18 awoken
7-3-19 substantial
7-3-20 comrades
7-4-1 alike
7-4-2 sentences
7-4-3 concentration
7-4-4 confirms
7-4-5 organs
7-4-6 orders
7-4-7 vulnerable
7-4-8 collapse
7-4-9 sell
7-4-10 hopelessly
7-4-11 built
7-4-12 dancing
7-4-13 unprocessed
7-4-14 pry
7-4-15 cave
7-4-16 officers
7-4-17 port
7-4-18 also
7-4-19 entirety
7-4-20 lifts
7-5-1 chairman
7-5-2 finding
7-5-3 hurling
7-5-4 kendal
7-5-5 foreman
7-5-6 play
7-5-7 towards
7-5-8 hires
7-5-9 vaspar
7-5-10 bargwill
7-5-11 distaste
7-5-12 swiftly
7-5-13 reach
7-5-14 reunited
7-5-15 took
7-5-16 summons
7-5-17 most
7-5-18 mace
7-5-19 experiences
7-5-20 plan
7-6-1 thrusters
7-6-2 nothing
7-6-3 unbeknownst
7-6-4 firespeeders
7-6-5 extremely
7-6-6 approved
7-6-7 intervenes
7-6-8 understands
7-6-9 viciously
7-6-10 clear
7-6-11 cover
7-6-12 satirical
7-6-13 clean
7-6-14 wilhuff
7-6-15 attacking
7-6-16 lying
7-6-17 sector
7-6-18 lest
7-6-19 axes
7-6-20 rebels
7-7-1 cruiser
7-7-2 tyranus
7-7-3 bodhi
7-7-4 vader
7-7-5 session
7-7-6 laments
7-7-7 carefully
7-7-8 canto
7-7-9 find
7-7-10 bests
7-7-11 cell
7-7-12 awakens
7-7-13 securing
7-7-14 stairs
7-7-15 sharing
7-7-16 less
7-7-17 rotten
7-7-18 unhappy
7-7-19 lightspeed
7-7-20 failed
7-8-1 mustafar
7-8-2 carnage
7-8-3 money
7-8-4 volatile
7-8-5 relieves
7-8-6 battleship
7-8-7 discuss
7-8-8 giants
7-8-9 boarding
7-8-10 his
7-8-11 hit
7-8-12 gains
7-8-13 meanwhile
7-8-14 excoriates
7-8-15 luke
7-8-16 retorts
7-8-17 hostile
7-8-18 mortally
7-8-19 feels
7-8-20 valuable
7-9-1 devising
7-9-2 during
7-9-3 him
7-9-4 restart
7-9-5 distraction
7-9-6 enemy
7-9-7 catches
7-9-8 resolve
7-9-9 sleeve
7-9-10 recycled
7-9-11 hits
7-9-12 medicines
7-9-13 cry
7-9-14 balancing
7-9-15 remove
7-9-16 proclaim
7-9-17 sacrifices
7-9-18 investigate
7-9-19 stored
7-9-20 river
7-10-1 hinder
7-10-2 severing
7-10-3 locating
7-10-4 scanning
7-10-5 quiggold
7-10-6 set
7-10-7 dump
7-10-8 throwing
7-10-9 declines
7-10-10 instituted
7-10-11 mantra
7-10-12 see
7-10-13 defense
7-10-14 bare
7-10-15 are
7-10-16 surrendered
7-10-17 close
7-10-18 refuse
7-10-19 mynocks
7-10-20 counter-attack
7-11-1 arm
7-11-2 allie
7-11-3 feared
7-11-4 repairs
7-11-5 learns
7-11-6 spirits
7-11-7 deactivate
7-11-8 movie
7-11-9 leg
7-11-10 codebreaker
7-11-11 kneeling
7-11-12 bowcaster
7-11-13 fans
7-11-14 won
7-11-15 various
7-11-16 aides
7-11-17 probably
7-11-18 burned
7-11-19 numerous
7-11-20 slaying
7-12-1 knowing
7-12-2 solo
7-12-3 archduke
7-12-4 unconscious
7-12-5 missing
7-12-6 initially
7-12-7 complement
7-12-8 attention
7-12-9 aircraft
7-12-10 turning
7-12-11 opposition
7-12-12 wielded
7-12-13 betrayed
7-12-14 chasm
7-12-15 relying
7-12-16 both
7-12-17 garrison
7-12-18 last
7-12-19 oversee
7-12-20 powers
7-13-1 barely
7-13-2 interrogate
7-13-3 connection
7-13-4 became
7-13-5 launderette
7-13-6 context
7-13-7 buzz
7-13-8 vault
7-13-9 department
7-13-10 bond
7-13-11 whole
7-13-12 finds
7-13-13 load
7-13-14 slain
7-13-15 flies
7-13-16 volcanic
7-13-17 words
7-13-18 distress
7-13-19 point
7-13-20 dwindle
7-14-1 kilometers
7-14-2 smashing
7-14-3 allegiance
7-14-4 proton
7-14-5 zett
7-14-6 simply
7-14-7 likes
7-14-8 unsuccessful
7-14-9 vessel
7-14-10 ravaged
7-14-11 liana
7-14-12 devil
7-14-13 raise
7-14-14 bacta
7-14-15 instrument
7-14-16 create
7-14-17 trilogy
7-14-18 political
7-14-19 whom
7-14-20 secret
7-15-1 dropping
7-15-2 mutiny
7-15-3 tearfully
7-15-4 tiaan
7-15-5 deduced
7-15-6 meeting
7-15-7 empty
7-15-8 combatants
7-15-9 ram
7-15-10 flight
7-15-11 sending
7-15-12 fire
7-15-13 cyborg
7-15-14 exposed
7-15-15 remark
7-15-16 imperials
7-15-17 silencer
7-15-18 racer
7-15-19 moon-sized
7-15-20 fending
7-16-1 snowtroopers
7-16-2 demand
7-16-3 sphyrna-class
7-16-4 surveys
7-16-5 stolen
7-16-6 uncertain
7-16-7 look
7-16-8 agen
7-16-9 ski
7-16-10 straight
7-16-11 mumbling
7-16-12 tolerate
7-16-13 budget
7-16-14 governor
7-16-15 skiff
7-16-16 airstrike
7-16-17 momentum
7-16-18 endanger
7-16-19 fleet
7-16-20 guide
7-17-1 flees
7-17-2 owed
7-17-3 casino
7-17-4 hoping
7-17-5 kashyyyk
7-17-6 backing
7-17-7 violently
7-17-8 owen
7-17-9 rancor
7-17-10 decoration
7-17-11 gunned
7-17-12 rim
7-17-13 owes
7-17-14 vos
7-17-15 ready
7-17-16 anguish
7-17-17 hexagonal
7-17-18 chase
7-17-19 sweep
7-17-20 aged
7-18-1 italy
7-18-2 suggests
7-18-3 government
7-18-4 citadel
7-18-5 wherein
7-18-6 shorter
7-18-7 corridor
7-18-8 grand
7-18-9 survey
7-18-10 advise
7-18-11 scarif
7-18-12 cassian
7-18-13 daughters
7-18-14 riddling
7-18-15 arrives
7-18-16 temporary
7-18-17 tauntaun
7-18-18 restraint
7-18-19 defeat
7-18-20 restrains
7-19-1 stashed
7-19-2 henchmen
7-19-3 moment
7-19-4 levels
7-19-5 uses
7-19-6 cleaning
7-19-7 infamous
7-19-8 snowspeeder
7-19-9 early
7-19-10 lower
7-19-11 motionless
7-19-12 older
7-19-13 docked
7-19-14 superweapon
7-19-15 grind
7-19-16 craves
7-19-17 person
7-19-18 edge
7-19-19 chronicles
7-19-20 machinery
7-20-1 tynnra
7-20-2 organization
7-20-3 clearance
7-20-4 timberlake
7-20-5 know
7-20-6 bombards
7-20-7 abilities
7-20-8 theed
7-20-9 kolar
7-20-10 quarters
7-20-11 damages
7-20-12 openly
7-20-13 questions
7-20-14 world
7-20-15 alternative
7-20-16 praying
7-20-17 cut
7-20-18 cuffs
7-20-19 wounding
7-20-20 surprises
8-1-1 queen
8-1-2 recognizing
8-1-3 reunion
8-1-4 source
8-1-5 internal
8-1-6 parents
8-1-7 location
8-1-8 sydney
8-1-9 born
8-1-10 confederacy
8-1-11 remaining
8-1-12 surprised
8-1-13 luxury
8-1-14 distrustful
8-1-15 clutches
8-1-16 march
8-1-17 emergency
8-1-18 demands
8-1-19 at-ats
8-1-20 big
8-2-1 bid
8-2-2 traps
8-2-3 bib
8-2-4 wookiee
8-2-5 matters
8-2-6 game
8-2-7 quest
8-2-8 point-defense
8-2-9 falcon
8-2-10 awaken
8-2-11 wings
8-2-12 *nsync
8-2-13 knock
8-2-14 corellia
8-2-15 regain
8-2-16 success
8-2-17 submission
8-2-18 terminally-ill
8-2-19 eadu
8-2-20 follows
8-3-1 signal
8-3-2 commanders
8-3-3 background
8-3-4 nudo
8-3-5 ignore
8-3-6 collect
8-3-7 distrust
8-3-8 continue
8-3-9 railing
8-3-10 names
8-3-11 sketch
8-3-12 inability
8-3-13 senate
8-3-14 impassioned
8-3-15 creation
8-3-16 some
8-3-17 back
8-3-18 eluding
8-3-19 accelerate
8-3-20 sight
8-4-1 erupts
8-4-2 underbelly
8-4-3 mine
8-4-4 battalion
8-4-5 pale
8-4-6 preparing
8-4-7 committing
8-4-8 lars
8-4-9 abandon
8-4-10 gradually
8-4-11 unleashes
8-4-12 sources
8-4-13 contacts
8-4-14 laser
8-4-15 decision
8-4-16 shall
8-4-17 benefit
8-4-18 blood-red
8-4-19 slash
8-4-20 widowed
8-5-1 epic
8-5-2 chirrut
8-5-3 temple
8-5-4 overseer
8-5-5 eating
8-5-6 darth
8-5-7 jumps
8-5-8 imprison
8-5-9 continuing
8-5-10 confidence
8-5-11 unenthusiastic
8-5-12 step
8-5-13 feeds
8-5-14 twenty
8-5-15 refuses
8-5-16 cannons
8-5-17 intense
8-5-18 wealth
8-5-19 dormant
8-5-20 faith
8-6-1 anything
8-6-2 pallid
8-6-3 completing
8-6-4 firing
8-6-5 ambush
8-6-6 fitted
8-6-7 alderaan
8-6-8 block
8-6-9 seeing
8-6-10 garbage
8-6-11 verifying
8-6-12 into
8-6-13 within
8-6-14 services
8-6-15 revisits
8-6-16 primarily
8-6-17 steven
8-6-18 kanata
8-6-19 regale
8-6-20 lesson
8-7-1 rolls
8-7-2 katie
8-7-3 impressed
8-7-4 covertly
8-7-5 monitors
8-7-6 jetpack
8-7-7 placing
8-7-8 bargaining
8-7-9 tentacles
8-7-10 amidst
8-7-11 overpower
8-7-12 broadcasts
8-7-13 ithano
8-7-14 forward
8-7-15 conceivable
8-7-16 belonged
8-7-17 opens
8-7-18 raddus
8-7-19 memory
8-7-20 himself
8-8-1 elsewhere
8-8-2 locates
8-8-3 atop
8-8-4 audacious
8-8-5 bossk
8-8-6 flawed
8-8-7 repeatedly
8-8-8 subtly
8-8-9 upright
8-8-10 pain
8-8-11 collapses
8-8-12 deployed
8-8-13 fades
8-8-14 entry
8-8-15 intuitive
8-8-16 redeemed
8-8-17 transmits
